Lattitude (Deg),Longitude (Deg),Altitude,Month,Day,Year,Hour,Minute,Second,Millisecond,Humidity,Temp,Pressure,Wind Speed,Wind Direction
1,1,0,1,12,80,17,27,50,175,37,25,000,1.50,337
1,1,0,1,12,80,17,27,50,122,37,25,000,1.50,342
1,1,0,1,12,80,17,27,51,109,37,25,000,1.60,344
1,1,0,1,12,80,17,27,51,109,37,25,99204,1.60,345
1,1,0,1,12,80,17,27,51,40,37,25,99204,1.60,344
1,1,0,1,12,80,17,27,51,228,37,25,99204,1.60,344
1,1,0,1,12,80,17,27,51,175,37,25,99208,1.60,343
1,1,0,1,12,80,17,27,51,175,37,25,99208,1.81,343
1,1,0,1,12,80,17,27,51,122,37,25,99208,1.81,340
1,1,0,1,12,80,17,27,52,93,37,25,99203,1.81,333
1,1,0,1,12,80,17,27,52,40,37,25,99203,1.81,327
1,1,0,1,12,80,17,27,52,40,37,25,99203,1.81,325
1,1,0,1,12,80,17,27,52,228,37,25,99202,1.73,321
1,1,0,1,12,80,17,27,52,175,37,25,99202,1.73,321
1,1,0,1,12,80,17,27,52,122,37,25,99202,1.73,321
1,1,0,1,12,80,17,27,52,122,37,25,99202,1.73,321
1,1,0,1,12,80,17,27,53,93,37,25,99202,1.73,320
1,1,0,1,12,80,17,27,53,40,37,25,99202,1.67,321
1,1,0,1,12,80,17,27,53,244,37,25,99199,1.67,320
1,1,0,1,12,80,17,27,53,244,37,25,99199,1.67,320
1,1,0,1,12,80,17,27,53,175,37,25,99199,1.67,321
1,1,0,1,12,80,17,27,53,122,37,25,99197,1.67,321
1,1,0,1,12,80,17,27,54,93,37,25,99197,1.67,320
1,1,0,1,12,80,17,27,54,93,37,25,99197,1.80,320
1,1,0,1,12,80,17,27,54,40,37,25,99202,1.80,321
1,1,0,1,12,80,17,27,54,228,37,25,99202,1.80,321
1,1,0,1,12,80,17,27,54,175,37,25,99202,1.80,321
1,1,0,1,12,80,17,27,54,175,37,25,99199,1.80,321
1,1,0,1,12,80,17,27,54,122,37,25,99199,1.80,320
1,1,0,1,12,80,17,27,55,109,37,25,99199,1.80,321
1,1,0,1,12,80,17,27,55,40,37,25,99202,1.80,321
1,1,0,1,12,80,17,27,55,40,37,25,99202,1.80,323
1,1,0,1,12,80,17,27,55,228,37,25,99202,1.80,328
1,1,0,1,12,80,17,27,55,175,37,25,99200,1.76,332
1,1,0,1,12,80,17,27,55,122,37,25,99200,1.76,335
1,1,0,1,12,80,17,27,55,122,37,25,99200,1.76,335
1,1,0,1,12,80,17,27,56,93,37,25,99204,1.76,335
1,1,0,1,12,80,17,27,56,40,37,25,99204,1.76,335
1,1,0,1,12,80,17,27,56,228,37,25,99204,1.71,335
1,1,0,1,12,80,17,27,56,228,37,25,99202,1.71,335
1,1,0,1,12,80,17,27,56,175,37,25,99202,1.71,335
1,1,0,1,12,80,17,27,56,122,37,25,99202,1.71,335
1,1,0,1,12,80,17,27,57,93,37,25,99197,1.71,335
1,1,0,1,12,80,17,27,57,93,37,25,99197,1.87,333
