Lattitude (Deg),Longitude (Deg),Altitude,Month,Day,Year,Hour,Minute,Second,Millisecond,Humidity,Temp,Pressure,Wind Speed,Wind Direction
1,1,0,1,6,80,1,35,17,31,27,30,100664,0.00,93
1,1,0,1,6,80,1,35,18,0,27,30,100664,0.00,93
1,1,0,1,6,80,1,35,18,198,27,30,100664,0.00,93
1,1,0,1,6,80,1,35,18,142,27,30,100646,0.00,93
1,1,0,1,6,80,1,35,18,142,27,30,100646,0.00,93
1,1,0,1,6,80,1,35,18,88,27,30,100646,0.00,93
1,1,0,1,6,80,1,35,18,31,27,30,100660,0.00,93
1,1,0,1,6,80,1,35,19,0,27,30,100660,0.00,93
1,1,0,1,6,80,1,35,19,0,27,30,100660,0.00,93
1,1,0,1,6,80,1,35,19,198,27,30,100654,0.00,93
1,1,0,1,6,80,1,35,19,142,27,30,100654,0.00,93
1,1,0,1,6,80,1,35,19,88,27,30,100654,0.00,93
1,1,0,1,6,80,1,35,19,88,26,30,100659,0.00,93
1,1,0,1,6,80,1,35,19,31,26,30,100659,0.00,93
1,1,0,1,6,80,1,35,20,0,26,30,100659,0.00,93
1,1,0,1,6,80,1,35,20,198,26,30,100660,0.00,93
1,1,0,1,6,80,1,35,20,198,26,30,100660,0.00,93
1,1,0,1,6,80,1,35,20,142,26,30,100660,0.00,93
1,1,0,1,6,80,1,35,20,88,26,30,100656,0.00,93
1,1,0,1,6,80,1,35,20,31,26,30,100656,0.00,93
1,1,0,1,6,80,1,35,20,31,26,30,100656,0.00,93
1,1,0,1,6,80,1,35,21,0,26,30,100655,0.00,93
1,1,0,1,6,80,1,35,21,198,26,30,100655,0.00,93
1,1,0,1,6,80,1,35,21,142,26,30,100655,0.00,93
1,1,0,1,6,80,1,35,21,142,26,30,100659,0.00,93
1,1,0,1,6,80,1,35,21,88,26,30,100659,0.00,93
1,1,0,1,6,80,1,35,21,31,26,30,100659,0.00,93
1,1,0,1,6,80,1,35,22,0,26,30,100655,0.00,93
1,1,0,1,6,80,1,35,22,0,26,30,100655,0.09,93
