Lattitude (Deg),Longitude (Deg),Altitude,Month,Day,Year,Hour,Minute,Second,Millisecond,Humidity,Temp,Pressure,Wind Speed,Wind Direction
1,1,0,0,0,0,23,59,51,28,56,18,000,1.33,244
1,1,0,1,5,80,23,59,51,28,56,18,000,1.33,240
1,1,0,1,5,80,23,59,52,0,56,18,000,1.33,239
1,1,0,1,5,80,23,59,52,171,56,18,9913,1.59,239
1,1,0,1,5,80,23,59,52,150,56,18,9913,1.59,239
1,1,0,1,5,80,23,59,52,150,56,18,9913,1.59,240
1,1,0,1,5,80,23,59,52,66,56,18,9926,1.59,240
1,1,0,1,5,80,23,59,52,28,56,18,9926,1.59,240
1,1,0,1,5,80,23,59,52,216,57,18,9926,1.84,240
1,1,0,1,5,80,23,59,52,216,57,18,9921,1.84,240
1,1,0,1,5,80,23,59,53,203,57,18,9921,1.84,240
1,1,0,1,5,80,23,59,53,150,57,18,9921,1.84,240
1,1,0,1,5,80,23,59,53,97,57,18,9929,1.84,240
1,1,0,1,5,80,23,59,53,97,57,18,9929,1.82,240
1,1,0,1,5,80,23,59,53,13,57,18,9929,1.82,238
1,1,0,1,5,80,23,59,54,0,57,18,9931,1.82,236
1,1,0,1,5,80,23,59,54,171,57,18,9931,1.82,235
1,1,0,1,5,80,23,59,54,171,57,18,9931,1.82,235
1,1,0,1,5,80,23,59,54,150,57,18,9932,1.73,234
1,1,0,1,5,80,23,59,54,66,57,18,9932,1.73,234
1,1,0,1,5,80,23,59,54,28,57,18,9932,1.73,234
1,1,0,1,5,80,23,59,54,28,57,18,9936,1.73,234
1,1,0,1,5,80,23,59,55,0,57,18,9936,1.73,234
1,1,0,1,5,80,23,59,55,203,57,18,9936,1.74,234
1,1,0,1,5,80,23,59,55,119,57,18,9936,1.74,234
1,1,0,1,5,80,23,59,55,119,57,18,9936,1.74,234
1,1,0,1,5,80,23,59,55,97,58,18,9936,1.74,234
1,1,0,1,5,80,23,59,55,28,58,18,9931,1.89,234
1,1,0,1,5,80,23,59,56,0,58,18,9931,1.89,234
1,1,0,1,5,80,23,59,56,0,58,18,9931,1.89,232
1,1,0,1,5,80,23,59,56,171,58,18,9933,1.89,229
1,1,0,1,5,80,23,59,56,72,58,18,9933,1.89,226
1,1,0,1,5,80,23,59,56,19,58,18,9933,1.92,226
1,1,0,1,5,80,23,59,56,222,57,18,9932,1.92,225
1,1,0,1,5,80,23,59,56,222,57,18,9932,1.92,224
1,1,0,1,5,80,23,59,56,153,57,18,9932,1.92,224
1,1,0,1,5,80,23,59,57,125,57,18,9933,1.92,224
1,1,0,1,5,80,23,59,57,72,57,18,9933,1.80,224
1,1,0,1,5,80,23,59,57,72,57,18,9933,1.80,223
1,1,0,1,5,80,23,59,57,19,57,18,9929,1.80,223
1,1,0,1,12,80,16,33,14,228,57,18,9929,1.80,225
1,1,0,1,12,80,16,33,14,191,58,18,9929,1.92,228
1,1,0,1,12,80,16,33,14,191,58,18,9936,1.92,230
1,1,0,1,12,80,16,33,14,122,58,18,9936,1.92,232
1,1,0,1,12,80,16,33,15,109,57,18,9936,1.92,231
1,1,0,1,12,80,16,33,15,40,57,18,9933,1.92,230
1,1,0,1,12,80,16,33,15,40,57,18,9933,2.08,230
1,1,0,1,12,80,16,33,15,244,57,18,9933,2.08,230
1,1,0,1,12,80,16,33,15,175,57,18,9934,2.08,230
1,1,0,1,12,80,16,33,15,138,57,18,9934,2.08,230
1,1,0,1,12,80,16,33,15,138,56,18,9934,2.10,230
1,1,0,1,12,80,16,33,16,93,56,18,9934,2.10,230
1,1,0,1,12,80,16,33,16,40,56,18,9934,2.10,230
1,1,0,1,12,80,16,33,16,228,56,18,9934,2.10,228
1,1,0,1,12,80,16,33,16,228,56,18,9934,1.93,224
1,1,0,1,12,80,16,33,16,191,56,18,9934,1.93,216
1,1,0,1,12,80,16,33,16,122,56,18,9934,1.93,207
1,1,0,1,12,80,16,33,17,109,56,18,9936,1.93,203
1,1,0,1,12,80,16,33,17,109,56,18,9936,1.93,200
1,1,0,1,12,80,16,33,17,40,56,18,9936,2.06,200
1,1,0,1,12,80,16,33,17,244,56,18,9934,2.06,201
1,1,0,1,12,80,16,33,17,175,56,18,9934,2.06,201
1,1,0,1,12,80,16,33,17,175,56,18,9934,2.06,201
1,1,0,1,12,80,16,33,17,138,56,18,9935,1.87,201
1,1,0,1,12,80,16,33,18,93,56,18,9935,1.87,203
1,1,0,1,12,80,16,33,18,40,56,18,9935,1.87,205
1,1,0,1,12,80,16,33,18,40,56,18,9938,1.87,209
1,1,0,1,12,80,16,33,18,228,56,18,9938,1.87,213
1,1,0,1,12,80,16,33,18,191,56,18,9938,1.91,215
1,1,0,1,12,80,16,33,18,122,56,18,9942,1.91,215
1,1,0,1,12,80,16,33,18,122,56,18,9942,1.91,215
1,1,0,1,12,80,16,33,19,140,56,18,9942,1.91,216
1,1,0,1,12,80,16,33,19,72,56,18,9936,1.73,220
1,1,0,1,12,80,16,33,19,34,55,18,9936,1.73,224
1,1,0,1,12,80,16,33,19,34,56,18,9936,1.73,229
1,1,0,1,12,80,16,33,19,222,56,18,9933,1.73,236
1,1,0,1,12,80,16,33,19,169,56,18,9933,1.73,241
1,1,0,1,12,80,16,33,20,125,56,18,9933,1.95,242
1,1,0,1,12,80,16,33,20,125,56,18,9937,1.95,242
1,1,0,1,12,80,16,33,20,87,56,18,9937,1.95,242
1,1,0,1,12,80,16,33,20,19,56,18,9937,1.95,242
1,1,0,1,12,80,16,33,20,222,55,18,9937,1.95,241
1,1,0,1,12,80,16,33,20,222,55,18,9937,2.02,240
1,1,0,1,12,80,16,33,20,153,55,18,9937,2.02,239
1,1,0,1,12,80,16,33,21,140,56,18,9932,2.02,239
1,1,0,1,12,80,16,33,21,72,56,18,9932,2.02,239
1,1,0,1,12,80,16,33,21,72,56,18,9932,2.03,239
1,1,0,1,12,80,16,33,21,34,56,18,9932,2.03,237
1,1,0,1,12,80,16,33,21,222,56,18,9932,2.03,235
1,1,0,1,12,80,16,33,21,169,56,18,9932,2.03,232
1,1,0,1,12,80,16,33,21,169,56,18,9931,2.00,230
1,1,0,1,12,80,16,33,22,125,56,18,9931,2.00,226
1,1,0,1,12,80,16,33,22,87,56,18,9931,2.00,223
1,1,0,1,12,80,16,33,22,19,56,18,9934,2.00,222
1,1,0,1,12,80,16,33,22,19,56,18,9934,2.00,222
1,1,0,1,12,80,16,33,22,222,56,18,9934,2.13,222
1,1,0,1,12,80,16,33,22,153,56,18,9930,2.13,223
1,1,0,1,12,80,16,33,23,140,56,18,9930,2.13,223
1,1,0,1,12,80,16,33,23,140,56,18,9930,2.13,223
1,1,0,1,12,80,16,33,23,72,56,18,9932,1.89,223
1,1,0,1,12,80,16,33,23,34,56,18,9932,1.89,223
1,1,0,1,12,80,16,33,23,222,56,18,9932,1.89,223
1,1,0,1,12,80,16,33,23,222,56,18,9936,1.89,223
1,1,0,1,12,80,16,33,23,169,56,18,9936,1.89,223
1,1,0,1,12,80,16,33,24,125,56,18,9936,1.86,223
1,1,0,1,12,80,16,33,24,87,56,18,9929,1.86,223
1,1,0,1,12,80,16,33,24,87,56,18,9929,1.86,223
1,1,0,1,12,80,16,33,24,19,56,18,9929,1.86,223
1,1,0,1,12,80,16,33,24,222,56,18,9930,1.86,223
1,1,0,1,12,80,16,33,24,153,56,18,9930,1.80,223
1,1,0,1,12,80,16,33,25,93,56,18,9930,1.80,223
1,1,0,1,12,80,16,33,25,140,56,18,9930,1.80,222
1,1,0,1,12,80,16,33,25,72,56,18,9930,1.80,222
1,1,0,1,12,80,16,33,25,34,56,18,9930,1.80,222
1,1,0,1,12,80,16,33,25,222,56,18,9931,1.62,222
1,1,0,1,12,80,16,33,25,222,57,18,9931,1.62,222
1,1,0,1,12,80,16,33,25,169,57,18,9931,1.62,222
1,1,0,1,12,80,16,33,26,125,57,18,9932,1.62,222
1,1,0,1,12,80,16,33,26,87,57,18,9932,1.62,222
1,1,0,1,12,80,16,33,26,87,57,18,9932,1.62,222
1,1,0,1,12,80,16,33,26,19,57,18,9932,1.57,222
1,1,0,1,12,80,16,33,26,222,57,18,9932,1.57,220
1,1,0,1,12,80,16,33,26,153,57,18,9932,1.57,219
1,1,0,1,12,80,16,33,26,153,57,18,9933,1.57,216
1,1,0,1,12,80,16,33,27,140,57,18,9933,1.57,212
1,1,0,1,12,80,16,33,27,72,57,18,9933,1.61,206
1,1,0,1,12,80,16,33,27,34,57,18,9929,1.61,201
1,1,0,1,12,80,16,33,27,34,57,18,9929,1.61,199
1,1,0,1,12,80,16,33,27,222,57,18,9929,1.61,198
1,1,0,1,12,80,16,33,27,169,57,18,9924,1.61,198
1,1,0,1,12,80,16,33,28,125,57,18,9924,1.61,198
1,1,0,1,12,80,16,33,28,125,57,18,9924,1.55,198
1,1,0,1,12,80,16,33,28,87,57,18,9927,1.55,198
1,1,0,1,12,80,16,33,28,19,57,18,9927,1.55,198
1,1,0,1,12,80,16,33,28,222,56,18,9927,1.55,198
1,1,0,1,12,80,16,33,28,222,56,18,9928,1.55,198
1,1,0,1,12,80,16,33,28,153,56,18,9928,1.63,198
