Lattitude (Deg),Longitude (Deg),Altitude,Month,Day,Year,Hour,Minute,Second,Millisecond,Humidity,Temp,Pressure,Wind Speed,Wind Direction
1,1,0,1,5,80,23,59,52,0,58,18,000,1.17,12
1,1,0,1,5,80,23,59,52,171,58,18,000,1.17,12
1,1,0,1,5,80,23,59,52,150,58,18,000,1.13,10
1,1,0,1,5,80,23,59,52,34,58,18,99185,1.13,10
1,1,0,1,5,80,23,59,52,238,58,18,99185,1.13,10
1,1,0,1,5,80,23,59,52,238,58,18,99185,1.13,8
1,1,0,1,5,80,23,59,52,185,58,18,99195,1.13,5
1,1,0,1,5,80,23,59,53,156,58,18,99195,1.13,0
1,1,0,1,5,80,23,59,53,103,58,18,99195,1.35,0
1,1,0,1,5,80,23,59,53,103,58,18,99177,1.35,360
1,1,0,1,5,80,23,59,53,34,58,18,99177,1.35,360
1,1,0,1,5,80,23,59,53,238,58,18,99177,1.35,360
1,1,0,1,5,80,16,54,32,228,58,18,99171,1.35,360
1,1,0,1,12,80,16,54,32,228,58,18,99171,1.35,360
1,1,0,1,12,80,16,54,32,175,58,18,99171,1.44,360
1,1,0,1,12,80,16,54,32,122,58,18,99165,1.44,360
1,1,0,1,12,80,16,54,33,93,58,18,99165,1.44,360
1,1,0,1,12,80,16,54,33,93,58,18,99165,1.44,360
1,1,0,1,12,80,16,54,33,40,58,18,99184,1.44,360
1,1,0,1,12,80,16,54,33,228,58,18,99184,1.44,360
1,1,0,1,12,80,16,54,33,175,58,18,99184,1.45,360
1,1,0,1,12,80,16,54,33,175,58,18,99195,1.45,360
1,1,0,1,12,80,16,54,33,122,58,18,99195,1.45,360
1,1,0,1,12,80,16,54,34,93,58,18,99195,1.45,360
1,1,0,1,12,80,16,54,34,40,58,18,99195,1.45,357
1,1,0,1,12,80,16,54,34,40,58,18,99195,1.45,356
1,1,0,1,12,80,16,54,34,228,58,18,99195,1.48,355
1,1,0,1,12,80,16,54,34,175,58,18,99192,1.48,354
1,1,0,1,12,80,16,54,34,122,58,18,99192,1.48,353
1,1,0,1,12,80,16,54,34,122,58,18,99192,1.48,352
1,1,0,1,12,80,16,54,35,93,58,18,99199,1.48,352
1,1,0,1,12,80,16,54,35,40,58,18,99199,1.75,353
1,1,0,1,12,80,16,54,35,228,58,18,99199,1.75,354
1,1,0,1,12,80,16,54,35,228,58,18,99198,1.75,355
1,1,0,1,12,80,16,54,35,175,58,18,99198,1.75,355
1,1,0,1,12,80,16,54,35,122,58,18,99198,1.75,355
1,1,0,1,12,80,16,54,36,93,58,18,99192,1.86,355
1,1,0,1,12,80,16,54,36,93,58,18,99192,1.86,355
1,1,0,1,12,80,16,54,36,40,58,18,99192,1.86,355
1,1,0,1,12,80,16,54,36,228,58,18,99197,1.86,355
1,1,0,1,12,80,16,54,36,175,58,18,99197,1.86,354
1,1,0,1,12,80,16,54,36,175,58,18,99197,1.96,354
1,1,0,1,12,80,16,54,36,122,58,18,99195,1.96,358
1,1,0,1,12,80,16,54,37,93,58,18,99195,1.96,360
1,1,0,1,12,80,16,54,37,40,58,18,99195,1.96,360
1,1,0,1,12,80,16,54,37,40,58,18,99195,1.96,0
1,1,0,1,12,80,16,54,37,228,58,18,99195,1.80,0
1,1,0,1,12,80,16,54,37,175,58,18,99195,1.80,2
1,1,0,1,12,80,16,54,37,122,58,18,99196,1.80,2
1,1,0,1,12,80,16,54,37,122,57,18,99196,1.80,2
1,1,0,1,12,80,16,54,38,93,57,18,99196,1.80,2
1,1,0,1,12,80,16,54,38,40,57,18,99197,1.69,2
