Lattitude (Deg),Longitude (Deg),Altitude,Month,Day,Year,Hour,Minute,Second,Millisecond,Humidity,Temp,Pressure,Wind Speed,Wind Direction
1,1,0,1,6,80,1,30,57,198,31,30,100644,0.00,48
1,1,0,1,6,80,1,30,57,198,31,30,100635,0.00,47
1,1,0,1,6,80,1,30,57,142,31,30,100632,0.00,48
1,1,0,1,6,80,1,30,57,88,31,30,100653,0.00,47
1,1,0,1,6,80,1,30,57,31,31,30,100613,0.00,47
1,1,0,1,6,80,1,30,57,31,31,30,100627,0.00,48
1,1,0,1,6,80,1,30,58,0,31,30,100609,0.00,48
1,1,0,1,6,80,1,30,58,198,31,30,100635,0.00,47
