    TIME       CBIT        CBIT2
 [HRS UTC]                      

  17.63222     400000     1c0000
  17.63250     400000     1c0000
  17.63278     400000     1c0000
  17.63306     400000     1c0000
  17.63333     400000     1c0000
  17.63361     400000     1c0000
  17.63389     400000     1c0000
  17.63417     400000     1c0000
  17.63445     400000     1c0000
  17.63472     400000     1c0000
  17.63500     400000     1c0000
  17.63528     400000     1c0000
  17.63556     400000     1c0000
  17.63583     400000     1c0000
  17.63611     400000     1c0000
  17.63639     400000     1c0000
  17.63667     400000     1c0000
  17.63694     400000     1c0000
  17.63722     400000     1c0000
  17.63750     400000     1c0000
  17.63778     400000     1c0000
  17.63806     400000     1c0000
  17.63833     400000     1c0000
  17.63861     400000     1c0000
  17.63889     400000     1c0000
  17.63917     400000     1c0000
  17.63944     400000     1c0000
  17.63972     400000     1c0000
  17.64000     400000     1c0000
  17.64028     400000     1c0000
  17.64056     400000     1c0000
  17.64083     400000     1c0000
  17.64111     400000     1c0000
  17.64139     400000     1c0000
  17.64167     400000     1c0000
  17.64194     400000     1c0000
  17.64222     400000     1c0000
  17.64250     400000     1c0000
  17.64278     400000     1c0000
  17.64305     400000     1c0000
  17.64333     400000     1c0000
  17.64361     400000     1c0000
  17.64389     400000     1c0000
  17.64417     400000     1c0000
  17.64444     400000     1c0000
  17.64472     400000     1c0000
  17.64500     400000     1c0000
  17.64528     400000     1c0000
  17.64556     400000     1c0000
  17.64583     400000     1c0000
  17.64611     400000     1c0000
  17.64639     400000     1c0000
  17.64667     400000     1c0000
  17.64694     400000     1c0000
  17.64722     400000     1c0000
  17.64750     400000     1c0000
  17.64778     400000     1c0000
  17.64806     400000     1c0000
  17.64833     400000     1c0000
  17.64861     400000     1c0000
  17.64889     400000     1c0000
  17.64917     400000     1c0000
  17.64944     400000     1c0000
  17.64972     400000     1c0000
  17.65000     400000     1c0000
  17.65028     400000     1c0000
  17.65055     400000     1c0000
  17.65083     400000     1c0000
  17.65111     400000     1c0000
  17.65139     400000     1c0000
  17.65167     400000     1c0000
  17.65194     400000     1c0000
  17.65222     400000     1c0000
  17.65250     400000     1c0000
  17.65278     400000     1c0000
  17.65306     400000     1c0000
  17.65333     400000     1c0000
  17.65361     400000     1c0000
  17.65389     400000     1c0000
  17.65417     400000     1c0000
  17.65444     400000     1c0000
  17.65472     400000     1c0000
  17.65500     400000     1c0000
  17.65528     400000     1c0000
  17.65556     400000     1c0000
  17.65583     400000     1c0000
  17.65611     400000     1c0000
  17.65639     400000     1c0000
  17.65667     400000     1c0000
  17.65694     400000     1c0000
  17.65722     400000     1c0000
  17.65750     400000     1c0000
  17.65778     400000     1c0000
  17.65805     400000     1c0000
  17.65833     400000     1c0000
  17.65861     400000     1c0000
  17.65889     400000     1c0000
  17.65917     400000     1c0000
  17.65944     400000     1c0000
  17.65972     400000     1c0000
  17.66000     400000     1c0000
  17.66028     400000     1c0000
  17.66055     400000     1c0000
  17.66083     400000     1c0000
  17.66111     400000     1c0000
  17.66139     400000     1c0000
  17.66167     400000     1c0000
  17.66194     400000     1c0000
  17.66222     400000     1c0000
  17.66250     400000     1c0000
  17.66278     400000     1c0000
  17.66306     400000     1c0000
  17.66333     400000     1c0000
  17.66361     400000     1c0000
  17.66389     400000     1c0000
  17.66417     400000     1c0000
  17.66444     400000     1c0000
  17.66472     400000     1c0000
  17.66500     400000     1c0000
  17.66528     400000     1c0000
  17.66556     400000     1c0000
  17.66583     400000     1c0000
  17.66611     400000     1c0000
  17.66639     400000     1c0000
  17.66667     400000     1c0000
  17.66694     400000     1c0000
