    TIME       CBIT        CBIT2
 [HRS UTC]                      

  16.22306     400000     1c0000
  16.22333     400000     1c0000
  16.22361     400000     1c0000
  16.22389     400000     1c0000
  16.22417     400000     1c0000
  16.22445     400000     1c0000
  16.22472     400000     1c0000
  16.22500     400000     1c0000
  16.22528     400000     1c0000
  16.22556     400000     1c0000
  16.22583     400000     1c0000
  16.22611     400000     1c0000
  16.22639     400000     1c0000
  16.22667     400000     1c0000
  16.22695     400000     1c0000
  16.22722     400000     1c0000
  16.22750     400000     1c0000
  16.22778     400000     1c0000
  16.22806     400000     1c0000
  16.22833     400000     1c0000
  16.22861     400000     1c0000
  16.22889     400000     1c0000
  16.22917     400000     1c0000
  16.22944     400000     1c0000
  16.22972     400000     1c0000
  16.23000     400000     1c0000
  16.23028     400000     1c0000
  16.23056     400000     1c0000
  16.23083     400000     1c0000
  16.23111     400000     1c0000
  16.23139     400000     1c0000
  16.23167     400000     1c0000
  16.23195     400000     1c0000
  16.23222     400000     1c0000
  16.23250     400000     1c0000
  16.23278     400000     1c0000
  16.23306     400000     1c0000
  16.23333     400000     1c0000
  16.23361     400000     1c0000
  16.23389     400000     1c0000
  16.23417     400000     1c0000
  16.23445     400000     1c0000
  16.23472     400000     1c0000
  16.23500     400000     1c0000
  16.23528     400000     1c0000
  16.23556     400000     1c0000
  16.23583     400000     1c0000
  16.23611     400000     1c0000
  16.23639     400000     1c0000
  16.23667     400000     1c0000
  16.23694     400000     1c0000
  16.23722     400000     1c0000
  16.23750     400000     1c0000
  16.23778     400000     1c0000
  16.23806     400000     1c0000
  16.23833     400000     1c0000
  16.23861     400000     1c0000
  16.23889     400000     1c0000
  16.23917     400000     1c0000
  16.23944     400000     1c0000
  16.23972     400000     1c0000
  16.24000     400000     1c0000
  16.24028     400000     1c0000
  16.24056     400000     1c0000
  16.24083     400000     1c0000
  16.24111     400000     1c0000
  16.24139     400000     1c0000
  16.24167     400000     1c0000
  16.24195     400000     1c0000
  16.24222     400000     1c0000
  16.24250     400000     1c0000
  16.24278     400000     1c0000
  16.24306     400000     1c0000
  16.24333     400000     1c0000
  16.24361     400000     1c0000
  16.24389     400000     1c0000
  16.24417     400000     1c0000
  16.24444     400000     1c0000
  16.24472     400000     1c0000
  16.24500     400000     1c0000
  16.24528     400000     1c0000
  16.24556     400000     1c0000
  16.24583     400000     1c0000
  16.24611     400000     1c0000
  16.24639     400000     1c0000
  16.24667     400000     1c0000
  16.24694     400000     1c0000
  16.24722     400000     1c0000
  16.24750     400000     1c0000
  16.24778     400000     1c0000
  16.24806     400000     1c0000
  16.24833     400000     1c0000
  16.24861     400000     1c0000
  16.24889     400000     1c0000
  16.24917     400000     1c0000
  16.24944     400000     1c0000
  16.24972     400000     1c0000
  16.25000     400000     1c0000
  16.25028     400000     1c0000
  16.25056     400000     1c0000
  16.25083     400000     1c0000
  16.25111     400000     1c0000
  16.25139     400000     1c0000
  16.25167     400000     1c0000
  16.25194     400000     1c0000
  16.25222     400000     1c0000
  16.25250     400000     1c0000
  16.25278     400000     1c0000
  16.25306     400000     1c0000
  16.25333     400000     1c0000
  16.25361     400000     1c0000
  16.25389     400000     1c0000
  16.25417     400000     1c0000
  16.25444     400000     1c0000
  16.25472     400000     1c0000
  16.25500     400000     1c0000
  16.25528     400000     1c0000
  16.25556     400000     1c0000
  16.25583     400000     1c0000
  16.25611     400000     1c0000
  16.25639     400000     1c0000
  16.25667     400000     1c0000
  16.25694     400000     1c0000
  16.25722     400000     1c0000
  16.25750     400000     1c0000
  16.25778     400000     1c0000
  16.25805     400000     1c0000
  16.25833     400000     1c0000
  16.25861     400000     1c0000
